departement,total_segpa,total_ulis,total_eleves_en_difficulte,total_eleves,segpa_6eme,ulis_6eme,total_6eme,segpa_5eme,ulis_5eme,total_5eme,segpa_4eme,ulis_4eme,total_4eme,segpa_3eme,ulis_3eme,total_3eme
AIN,2916,1988,4904,147834,588,521,37533,742,540,37423,802,480,36758,784,447,36120
AISNE,4049,2143,6192,110037,741,456,27419,1037,593,27596,1141,576,27539,1130,518,27483
ALLIER,1916,1137,3053,57665,369,303,14278,492,299,14527,534,295,14355,521,240,14505
ALPES-DE-HTE-PROVENCE,898,551,1449,30401,161,137,7537,212,154,7592,262,136,7606,263,124,7666
ALPES-MARITIMES,4077,2779,6856,209358,838,698,52279,1060,747,52320,1101,676,51905,1078,658,52854
ARDECHE,1553,830,2383,65451,361,229,16272,393,233,16377,408,208,16239,391,160,16563
ARDENNES,1814,670,2484,51644,353,130,12856,462,202,13087,490,186,12906,509,152,12795
ARIEGE,608,457,1065,27924,96,118,6887,158,118,7005,181,113,6971,173,108,7061
AUBE,1463,400,1863,61399,300,92,15344,348,99,15334,384,107,15128,431,102,15593
AUDE,2178,1151,3329,67810,452,296,16821,577,303,16956,581,278,16906,568,274,17127
AVEYRON,1103,1061,2164,48843,223,246,12061,279,288,12170,305,288,12297,296,239,12315
BAS-RHIN,6080,3542,9622,218113,1204,872,53943,1545,978,54252,1672,873,54213,1659,819,55705
BOUCHES-DU-RHONE,9248,3871,13119,417456,2101,939,104552,2371,1062,104498,2413,980,103655,2363,890,104751
CALVADOS,2673,2092,4765,135731,448,506,34000,706,573,34082,758,531,33850,761,482,33799
CANTAL,710,436,1146,23012,122,112,5578,164,120,5729,208,111,5874,216,93,5831
CHARENTE,2228,727,2955,62362,487,187,15476,559,214,15645,594,171,15640,588,155,15601
CHARENTE-MARITIME,3130,1850,4980,117762,535,484,29550,832,483,29595,886,459,29403,877,424,29214
CHER,1968,852,2820,52481,450,199,13095,500,214,13266,528,198,13010,490,241,13110
CORREZE,1304,506,1810,42023,286,124,10392,335,130,10424,347,121,10554,336,131,10653
CORSE-DU-SUD,696,187,883,25314,161,54,6322,174,42,6297,183,38,6340,178,53,6355
COTE D'OR,3307,949,4256,96126,786,255,23765,842,259,24048,846,232,23970,833,203,24343
COTES D'ARMOR,3238,1241,4479,116380,689,300,29280,855,358,29532,872,302,28907,822,281,28661
CREUSE,948,168,1116,17441,206,52,4256,251,40,4315,247,39,4346,244,37,4524
DEUX-SEVRES,2365,988,3353,73693,519,240,18394,607,263,18532,643,239,18541,596,246,18226
DORDOGNE,2260,835,3095,68540,361,231,16987,545,228,17277,670,198,17302,684,178,16974
DOUBS,2914,1305,4219,109767,683,373,27531,728,362,27683,753,328,27336,750,242,27217
DROME,2750,1542,4292,104784,608,423,26255,708,406,26382,726,387,26117,708,326,26030
ESSONNE,6014,3237,9251,300539,1332,568,75541,1544,877,75371,1596,928,74402,1542,864,75225
EURE,3671,1418,5089,132714,872,240,33610,943,375,33474,950,434,32952,906,369,32678
EURE-ET-LOIR,2523,1352,3875,91673,501,311,22863,643,360,22956,707,336,22743,672,345,23111
FINISTERE,3927,1800,5727,173320,916,430,43104,1014,432,43529,1013,427,43384,984,511,43303
GARD,4458,2066,6524,152077,1066,437,38402,1142,569,38121,1155,549,37888,1095,511,37666
GERS,750,701,1451,34316,123,197,8377,196,193,8618,209,172,8616,222,139,8705
GIRONDE,6865,4331,11196,317869,1395,1064,79846,1758,1140,80224,1834,1111,79576,1878,1016,78223
GUADELOUPE,3756,1916,5672,98394,806,390,23317,901,480,24216,996,540,24988,1053,506,25873
GUYANE,4905,2475,7380,97585,971,533,24141,1275,646,24272,1344,613,24378,1315,683,24794
HAUTE-CORSE,778,371,1149,28362,168,103,7164,203,101,7076,210,87,7046,197,80,7076
HAUTE-GARONNE,4698,4674,9372,267240,927,1169,67655,1152,1279,67199,1286,1178,66210,1333,1048,66176
HAUTE-LOIRE,1167,757,1924,44660,240,199,11015,298,200,11124,317,188,11139,312,170,11382
HAUTE-MARNE,1046,431,1477,30944,201,114,7536,255,124,7707,300,112,7820,290,81,7881
HAUTES-ALPES,660,302,962,26276,161,93,6500,173,82,6537,167,69,6469,159,58,6770
HAUTE-SAONE,1663,569,2232,46354,394,134,11523,427,154,11665,431,138,11718,411,143,11448
HAUTE SAVOIE,3473,2041,5514,172045,818,536,43715,917,551,43442,889,513,42583,849,441,42305
HAUTES-PYRENEES,1093,772,1865,40160,208,192,9751,293,212,9945,305,195,10161,287,173,10303
HAUTE-VIENNE,1685,800,2485,65443,395,227,16351,422,209,16338,440,190,16290,428,174,16464
HAUT-RHIN,5776,2286,8062,150159,1177,635,37333,1493,590,37474,1584,534,37338,1522,527,38014
HAUTS-DE-SEINE,3246,2647,5893,306720,571,711,76887,763,690,76848,927,649,76193,985,597,76792
HERAULT,5673,2981,8654,226233,1295,658,56844,1441,798,56963,1470,793,56036,1467,732,56390
ILLE-ET-VILAINE,6420,1980,8400,230075,1488,308,58201,1673,588,58231,1677,583,57220,1582,501,56423
INDRE,1581,599,2180,37803,339,154,9232,414,150,9408,424,138,9491,404,157,9672
INDRE-ET-LOIRE,2917,1326,4243,118565,621,346,29643,754,373,29761,770,319,29595,772,288,29566
ISERE,6209,3083,9292,267725,1282,667,67333,1622,850,67603,1673,835,66344,1632,731,66445
JURA,1871,656,2527,48869,400,177,12133,494,171,12319,503,160,12323,474,148,12094
LANDES,1651,1487,3138,78656,352,390,19647,420,410,19772,433,381,19779,446,306,19458
LA REUNION,9928,3927,13855,240034,2347,866,59030,2546,1011,59668,2542,1019,60362,2493,1031,60974
LOIRE,3946,1976,5922,155655,890,402,39125,1027,567,39208,1046,531,38739,983,476,38583
LOIRE-ATLANTIQUE,6375,3173,9548,301707,1504,670,76172,1642,927,76374,1648,825,74853,1581,751,74308
LOIRET,3432,2582,6014,146583,673,519,36588,907,719,36632,940,719,36514,912,625,36849
